,AlertId,Date,Alert,Category,Priority,Company,Company_normalized,Region
0,1,2023-05-02 02:06,Mondi has created 'Protector Bag ExpandForm' - A paper bag solution with an expandable feature to safely roll-pack mattresses.,New Products and Services,High,Mondi Group Global,Mondi,
1,2,2023-05-04 03:25,Amcor featured an article: Checklist - Medical device packaging best practices for new product launches.,Company Blog,Medium,Amcor Global,Amcor,
2,3,2023-05-02 03:43,Tetra Pak provided details regarding the challenges and solutions in whole soya production. ,Marketing Updates,Medium,Tetra Pak,Tetra Pak,
3,4,2023-05-09 05:45,Amcor will be joining the 'Interpack 2023' taking place from 4th to 10th May 2023.,Events,Medium,Amcor Global,Amcor,
4,5,2023-05-02 03:58,"In a Linkedin post, In three days, Flex Films will be at Interpack 2023. The event is being held in Dusseldorf, Germany, from May 4th to 10th, 2023. ",LinkedIn Posts,Medium,Uflex Global,Uflex,
5,6,2023-05-02 04:13,"SPX FLOW shared a new post: This month is all about self-care. Taking care of yourself is an essential part of your mental health. We proudly offer solution makers outlets to talk to someone, recharge on 'No Meeting Tuesdays,' and join ERGs to find personal community. ",LinkedIn Posts,Medium,Spx Flow,Spx Flow,
6,7,2023-05-02 04:28,"Krones shared that to introduce labels into the recycling loop, the label manufacturer CCL Label has developed EcoFloat-Sleeve-Labels. However, the pilot test took place in cooperation with Krones on a high-speed line from PepsiCo and was extremely successful.",Marketing Updates,Medium,Krones Germany,Krones,Germany
7,8,2023-05-02 06:34,"Lamipak is promoting its U-shape paper straw which is a sustainable alternative to plastic straws, and they have also developed printed paper straw wrappers.",Sustainability,Medium,Lamipak Global,Lamipak,
8,9,2023-05-02 09:32,Tetra Pak reported that they are continuing the journey with an industry-first test of a fibre-based barrier to substitute the aluminium foil layer in its aseptic paper-based carton packages. ,Marketing Updates,Medium,Tetra Pak,Tetra Pak,
9,10,2023-05-02 10:09,"Krones shared that the life span of a PET bottle is long because it is made of a material with excellent recycling properties, and with the MetaPure it can be used again and again.",Marketing Updates,Medium,Krones,Krones,
10,11,2023-05-03 00:17,GEA added a YouTube video: Stay stronger with GEA Service level agreements.,YouTube,Medium,Gea,Gea,
11,12,2023-05-03 02:52,"GEA provided details on how the GEA Sustainable Engineering Solutions (SEnS) help reduce greenhouse emissions, conserve natural resources, and minimize environmental impact.",Sustainability,Medium,Gea,Gea,
12,13,2023-05-03 03:56,Tetra Pak announced that the 'Financial Times' has recognised Tetra Pak as a European Climate Leader 2023. since their progress in reducing greenhouse gas emissions and setting robust commitments to climate action isn't going unnoticed. ,Sustainability,High,Tetra Pak,Tetra Pak,
13,14,2023-05-03 04:12,Mondi added a YouTube video: Power of Change. Watch our first video episode with Juha Koukka.,YouTube,Medium,Mondi Group Global,Mondi,
14,15,2023-05-03 04:13,SPX FLOW reported that the APV's plate heat exchanger solutions are now offering short lead times on shipments across the U.S. for both R5 and SR2 plates and gaskets.,Marketing Updates,Medium,Spx Flow,Spx Flow,
15,16,2023-05-03 04:28,Krones has opened a new company - 'KDSI - Krones Digital Solutions India'. ,Company News,High,Krones Germany,Krones,Germany
16,17,2023-05-03 04:52,"TikTok Video: As you probably noticed, the long-awaited Girls' Day took place in Nittenau.",TikTok,Medium,Krones,Krones,
17,18,2023-05-03 04:57,Krones has won the 'German Stevies 2023' award. ,Awards,High,Krones,Krones,
18,19,2023-05-03 05:26,GEA reported that it is successfully operating the largest decanter for the olive oil sector at Olibest and the new decanter CF 8000 processes up to 650 tons of olives per day. ,Marketing Updates,Medium,Gea,Gea,
19,20,2023-05-03 05:29,Krones has received an award for CSR and sustainability.,Sustainability,High,Krones Spain,Krones,Spain
20,21,2023-05-03 05:31,GEA will be participating in the 'International Symposium on Industrial Crystallization' trade fair taking place from 5th to 8th September 2023. ,Events,Medium,Gea,Gea,
21,22,2023-05-03 05:31,SIG announced that Hochwald is taking a leap into the continuously growing plant-based segment with a range of oat beverages in SIG's cutting-edge family-size packaging SIG Vita.,Company News,High,Sig,Sig,
22,23,2023-05-03 08:23,"Mondi discussed that social commerce is revolutionising the way consumers shop, and packaging plays a crucial role in meeting their expectations. The packaging is more than a visual and tactile touchpoint. It increasingly influences consumers' perception of the brand and whether it aligns with their own views on sustainability.",Marketing Updates,Medium,Mondi Group Global,Mondi,
23,24,2023-05-03 08:25,Krones will be joining the 'PRS Europe 2023' trade fair which will take place on the 10th and 11th of May 2023 in Amsterdam.,Events,Medium,Krones,Krones,
24,25,2023-05-03 12:16,Upcoming Event: ExpoQuimia trade fair is scheduled to take place from 30th May to the  2nd of June 2023. ,Events,Medium,Gea,Gea,
25,26,2023-05-03 12:17,GEA will be joining the 'Renewable materials conference 2023' taking place from the 23rd to 25th of May 2023.,Events,Medium,Gea,Gea,
26,27,2023-05-03 12:21,GEA will be exhibiting at the 'METECH 2023' trade fair taking place from the 12th to 16th of June 2023.,Events,Medium,Gea,Gea,
27,28,2023-05-03 12:22,Upcoming Trade Fair: 'Lithium Supply and Battery Raw Materials' is scheduled to take place from 5th to 8th September 2023.,Events,Medium,Gea,Gea,
28,29,2023-05-04 04:21,"Mondi Group shared that the 'ProVantage Powerflute' makes boxes safer to handle, stack and store, providing optimal protection for various goods, particularly for long-distance transport, and now a big upgrade for their mill is on the way. ",Marketing Updates,Medium,Mondi Group Global,Mondi,
29,30,2023-05-04 05:26,GEA has optimized the design program for refrigeration plants with 'Valvecalc 7.5' which offers new functions and calculation tools.,Product Changes,High,Gea,Gea,
30,31,2023-05-04 05:53,SIG has announced the financial results for Q1 2023 -  Revenue growth in Europe on a constant currency basis was 37.6% compared with the first quarter of 2022. ,Financial Results,High,Sig,Sig,
31,32,2023-05-04 06:14,"Asepto announced that they will be showcasing their packaging innovations at different exhibitions in the coming months taking place in Egypt, Thailand, and Brazil. ",Marketing Updates,Medium,Asepto,Asepto,
32,33,2023-05-04 06:46,"Krones reported that Bavaria is relying on filling and packaging technology from Krones three times over for its new greenfield brewery in Barranquilla, Colombia.",Company News,High,Krones,Krones,
33,34,2023-05-04 07:51,"Krones highlighted the new generation of its Contiform which has been given a whole series of new features and optimisations in terms of flexibility, hygiene, user-friendliness and digitalization. ",Marketing Updates,Medium,Krones,Krones,
